pack_id	decision_tier	pack_path	det_pass	det_supported	det_skipped	max_rss_kb	max_elapsed_sec	candidate_status
multi-hypothesis-phase5-bighunt-binance-trade-20260124..20260124-20260306_224806-9217e92f-t1__FULLSCAN_MAJOR__5c082b732a585add2d4dd97b244007453b25b3999e161abe14d9b0ee5d9bd628	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260124..20260124-20260306_224806-9217e92f-t1__FULLSCAN_MAJOR	20	20	4	1341084.0	94.61	NEW
multi-hypothesis-phase5-bighunt-binance-trade-20260126..20260126-20260306_234314-3c90bac0-t1__FULLSCAN_MAJOR__bd7c0351d59f666e4bca3f75240dbf81f4e23563f492f5cea7931f6631cea73d	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260126..20260126-20260306_234314-3c90bac0-t1__FULLSCAN_MAJOR	45	45	9	1865760.0	146.01	NEW
multi-hypothesis-phase5-bighunt-binance-trade-20260226..20260227-20260306_063952-e2efix1__FULLSCAN_MAJOR__0d68a8be923d9a3b598f9a947312ae19f1529cdfd3e7eea40d8078200ffbaab0	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260226..20260227-20260306_063952-e2efix1__FULLSCAN_MAJOR	5	5	1	129972.0	19.19	NEW
multi-hypothesis-phase5-bighunt-binance-trade-20260302..20260303-20260306_094633-d5dbd181-t1__FULLSCAN_MAJOR__ff80c569bcaa0490aa4ffb44aa9a9c286eda5828222da2a9996fe20a1495eacf	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260302..20260303-20260306_094633-d5dbd181-t1__FULLSCAN_MAJOR	35	35	7	324688.0	65.74	NEW
multi-hypothesis-phase5-bighunt-binance-trade-20260303..20260304-20260306_113334-eacbdf5c-t1__FULLSCAN_MAJOR__2456938e47702497f5c2107075a4bd8b6e40b72f2f5af8f03eaf9692ecbd92f4	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260303..20260304-20260306_113334-eacbdf5c-t1__FULLSCAN_MAJOR	35	35	7	326060.0	68.56	NEW
multi-hypothesis-phase5-bighunt-bybit-bbo-20260110..20260110-20260306_191708-c7000844-t1__FULLSCAN_MAJOR__0ad17f23e150de63e15707976dbaed17fb6de1ecd029fde053d3a21c1abad06e	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-bybit-bbo-20260110..20260110-20260306_191708-c7000844-t1__FULLSCAN_MAJOR	2	2	10	76736.0	1.53	NEW
multi-hypothesis-phase5-bighunt-okx-bbo-20260107..20260107-20260306_182939-72489212-t1__FULLSCAN_MAJOR__6ac2df69162aa2bfb7a888b94c87fe6d923e54c36ff2ae75833c34ca7890b3bc	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-okx-bbo-20260107..20260107-20260306_182939-72489212-t1__FULLSCAN_MAJOR	3	3	15	246432.0	8.98	NEW
multi-hypothesis-phase5-bighunt-okx-bbo-20260122..20260122-20260306_221750-26b2837d-t1__FULLSCAN_MAJOR__27ed60069409f4691020ffec211cae8fc28cb9efeb2d7b05d4f1905ec1226ae6	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-okx-bbo-20260122..20260122-20260306_221750-26b2837d-t1__FULLSCAN_MAJOR	1	1	5	243104.0	9.03	NEW
multi-hypothesis-phase5-bighunt-okx-trade-20260107..20260107-20260306_183037-ccafb196-t1__FULLSCAN_MAJOR__c9b25ff2ee73679ae97b667d2e208bd1e817288901b8cf18779ba0bfe4a3c914	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-okx-trade-20260107..20260107-20260306_183037-ccafb196-t1__FULLSCAN_MAJOR	5	5	1	566988.0	130.45	NEW
multi-hypothesis-phase5-bighunt-okx-trade-20260112..20260112-20260306_194647-f3732d7d-t1__FULLSCAN_MAJOR__a2f14ac3eefec33d888700a217e805c5e6c5b16859f76c186859fec8fd3bf141	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-okx-trade-20260112..20260112-20260306_194647-f3732d7d-t1__FULLSCAN_MAJOR	5	5	1	560164.0	130.78	NEW
multi-hypothesis-phase5-bighunt-okx-trade-20260116..20260116-20260306_205855-f52a70ed-t1__FULLSCAN_MAJOR__4b69784c2ecbc83b4c74f37b776729aa344ac86004aea99c6d31ca272f847c90	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-okx-trade-20260116..20260116-20260306_205855-f52a70ed-t1__FULLSCAN_MAJOR	5	5	1	83696.0	5.98	NEW
multi-hypothesis-phase5-bighunt-okx-trade-20260122..20260122-20260306_221828-28523733-t1__FULLSCAN_MAJOR__066147494550bcf4b8c7d807a6124d7e254094cc9094a82fa877c3e447a97f0d	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-okx-trade-20260122..20260122-20260306_221828-28523733-t1__FULLSCAN_MAJOR	10	10	2	679684.0	157.56	NEW
multi-hypothesis-phase5-day-benchmark-binance-trade-20260104-20260306_102926__FULLSCAN_MAJOR__b56c960fa2b5365433d20003eae450803cc5929382ae44940b179c73487bc969	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-day-benchmark-binance-trade-20260104-20260306_102926__FULLSCAN_MAJOR	10	10	2	562684.0	23.46	NEW
multi-hypothesis-phase5-day-benchmark-binance-trade-20260303-20260306_122929__FULLSCAN_MAJOR__ddc202fbb2ed6b765494fd68ed2aa0d9d3dd4a0049c29a8b5e9c9788201677f4	PROMOTE	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-day-benchmark-binance-trade-20260303-20260306_122929__FULLSCAN_MAJOR	35	35	7	200808.0	33.15	NEW
multi-hypothesis-phase5-bighunt-binance-trade-20260127..20260127-20260307_002719-09d1bb2e-t1__FULLSCAN_MAJOR__d1f931f6386fcfb70f46c1ebaf8dd39e16dd790a36b804aeed81975472127ae0	PROMOTE	/home/deploy/quantlab-evidence-archive/20260307_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260127..20260127-20260307_002719-09d1bb2e-t1__FULLSCAN_MAJOR	45	45	9	1781596.0	180.58	NEW
multi-hypothesis-phase5-bighunt-binance-trade-20260128..20260128-20260307_011221-8407b3d3-t1__FULLSCAN_MAJOR__ec98bad7de5d542800d3ad56cba327d120e6abd1f8b34f1c994f9fd2a3f2c150	PROMOTE	/home/deploy/quantlab-evidence-archive/20260307_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260128..20260128-20260307_011221-8407b3d3-t1__FULLSCAN_MAJOR	45	45	9	1981532.0	158.39	NEW
multi-hypothesis-phase5-bighunt-binance-trade-20260129..20260129-20260307_015448-7215d644-t1__FULLSCAN_MAJOR__fb237d12aefa9c9c32ae83cfa1c7d5cc157298291d8b05745e9a26843c682bbd	PROMOTE	/home/deploy/quantlab-evidence-archive/20260307_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260129..20260129-20260307_015448-7215d644-t1__FULLSCAN_MAJOR	45	45	9	1347608.0	189.47	NEW
multi-hypothesis-phase5-bighunt-binance-trade-20260203..20260203-20260307_025556-bf3a78e9-t1__FULLSCAN_MAJOR__4a020d49e5cff5a25d7dec9341dad9394d46ccd737a6cf45816f018487990806	PROMOTE	/home/deploy/quantlab-evidence-archive/20260307_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260203..20260203-20260307_025556-bf3a78e9-t1__FULLSCAN_MAJOR	45	45	9	1171288.0	299.68	NEW
multi-hypothesis-phase5-bighunt-binance-trade-20260208..20260208-20260307_035241-27e31b23-t1__FULLSCAN_MAJOR__d20f94a082e3b2941e628382be75c0c84f3324cb7b9191cba7f4516496473681	PROMOTE	/home/deploy/quantlab-evidence-archive/20260307_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260208..20260208-20260307_035241-27e31b23-t1__FULLSCAN_MAJOR	45	45	9	651404.0	159.72	NEW
